id,cardname_cn,cardname_en,cardeffect_cn,cardeffect_en
A001,祝福,Bless,施加5点信仰,Apply 5 Faith.
A001+,祝福+,Bless+,施加7点信仰,Apply 7 Faith.
A002,惩罚,Punishment,造成3点伤害,Deal 3 damage.
A002+,惩罚+,Punishment+,造成5点伤害,Deal 5 damage.
A003,时间流逝,Passage of Time,立即触发场上指定凡人的每日开始时和每日结束时效果1次,Trigger a mortal's Start of Day and End of Day effects 1 time.
A003+,时间流逝+,Passage of Time+,立即触发场上指定凡人的每日开始时和每日结束时效果1次,Trigger a mortal's Start of Day and End of Day effects 1 time.
A004,启悟,Awakening,当日获得1点临时神力,Gain 1 temporary Divinity this day.
A004+,启悟+,Awakening+,当日获得1点临时神力,Gain 1 temporary Divinity this day.
A005,烙印,Brand,"施加3点信仰
如果成功转化该凡人，该位置生成一个“代行者”","Apply 3 Faith.
If converted, summon an Apostle here."
A005+,烙印+,Brand+,"施加5点信仰 如果成功转化该凡人
该位置生成一个“代行者”","Apply 5 Faith.
If converted, summon an Apostle here."
A006,浸染,Taint,施加4点信仰，对其他同名凡人施加1点信仰,"Apply 4 Faith.
Apply 1 Faith to all mortals with the same name."
A006+,浸染+,Taint+,施加5点信仰，对其他同名凡人施加2点信仰,"Apply 5 Faith.
Apply 2 Faith to all mortals with the same name."
A007,织命,Weave Fate,交换凡人的位置，并对他们施加4点信仰,"Swap two mortals.
Apply 4 Faith to both."
A007+,织命+,Weave Fate+,交换凡人的位置，并对他们施加6点信仰,"Swap two mortals.
Apply 6 Faith to both."
A008,福音,Gospel,施加2点信仰，如果成功转化凡人，本场战斗内施加的信仰+1,"Apply 2 Faith.
If converted, Faith you apply this combat is increased by 1."
A008+,福音+,Gospel+,施加2点信仰，如果成功转化凡人，本场战斗内施加的信仰+2,"Apply 2 Faith.
If converted, Faith you apply this combat is increased by 2."
A009,恩赐,Grace,施加4点信仰，回复2点生命值,"Apply 4 Faith.
Heal 2 HP."
A009+,恩赐+,Grace+,施加6点信仰，回复4点生命值,"Apply 6 Faith.
Heal 4 HP."
A010,征服,Conquest,造成2点伤害，施加7点信仰,"Deal 2 damage.
Apply 7 Faith."
A010+,征服+,Conquest+,造成3点伤害，施加10点信仰,"Deal 3 damage.
Apply 10 Faith."
